date,profit
2025-03-20,28125.0
2025-03-20,27950.0
2025-03-20,28125.0
2025-03-20,27950.0
2025-03-20,28125.0
2025-03-20,28125.0
2025-03-20,28550.0
2025-03-20,27950.0
2025-03-20,28125.0
2025-03-20,25201.06
2025-03-20,25306.06
2025-03-20,25201.06
2025-03-20,25306.06
2025-03-20,25306.06
2025-03-20,25306.06
2025-03-20,25306.06
2025-03-20,10605.02
2025-03-20,9743.02
2025-03-20,9743.02
2025-03-20,9360.52
2025-03-20,9360.52
2025-03-20,9360.52
2025-03-20,9360.52
2025-03-20,9360.52
2025-03-20,3094.5
2025-03-20,2948.1
2025-03-20,2669.1
2025-03-20,2669.1
2025-03-20,2680.9
2025-03-20,3110.1
2025-03-20,2680.9
2025-03-20,2680.9
2025-03-20,4278.0
2025-03-20,4297.0
2025-03-20,4297.0
2025-03-20,4297.0
2025-03-20,2673.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2703.88
2025-03-20,2002.8
2025-03-20,2002.8
2025-03-20,2002.8
2025-03-20,2002.8
2025-03-20,2002.8
2025-03-20,2002.8
2025-03-20,2002.8
2025-03-20,28500.0
2025-03-20,28500.0
2025-03-20,28500.0
2025-03-20,30200.0
2025-03-20,30155.0
2025-03-20,28500.0
2025-03-20,28500.0
2025-03-20,28395.0
2025-03-20,28500.0
2025-03-20,28500.0
2025-03-20,3716.5
2025-03-20,3716.5
2025-03-20,3453.0
2025-03-20,13143.0
2025-03-20,13143.0
2025-03-20,13143.0
2025-03-20,13251.6
2025-03-20,13143.0
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,12738.2
2025-03-20,1477.38
2025-03-20,1477.38
2025-03-20,1424.58
2025-03-20,1354.18
2025-03-20,1354.18
2025-03-20,1354.18
2025-03-20,1354.18
2025-03-20,8418.62
2025-03-20,8418.62
2025-03-20,8426.82
2025-03-20,8426.82
2025-03-20,8419.52
2025-03-20,8427.62
2025-03-20,8328.62
2025-03-20,7793.22
2025-03-20,7903.62
2025-03-20,7797.62
2025-03-20,8373.62
2025-03-20,7835.62
2025-03-20,7869.62
2025-03-20,4016.4
2025-03-20,4016.4
2025-03-20,4016.4
2025-03-20,4016.4
2025-03-20,4016.4
2025-03-20,3926.4
2025-03-20,3926.4
2025-03-20,3926.4
2025-03-20,3854.4
2025-03-20,3859.8
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,3854.4
2025-03-20,1347.93
2025-03-20,1347.93
2025-03-20,1347.93
2025-03-20,1347.93
2025-03-20,4220.0
2025-03-20,4010.8
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,4037.2
2025-03-20,19317.5
2025-03-20,20882.5
2025-03-20,19742.5
2025-03-20,20909.5
2025-03-20,20753.5
2025-03-20,20927.5
2025-03-20,20950.0
2025-03-20,18467.5
2025-03-20,20927.5
2025-03-20,18467.5
2025-03-20,18467.5
2025-03-20,20927.5
2025-03-20,19317.5
2025-03-20,8060.96
2025-03-20,8060.96
2025-03-20,8060.96
2025-03-20,7911.36
2025-03-20,7911.36
2025-03-20,7911.36
2025-03-20,8016.96
2025-03-20,7752.96
2025-03-20,7629.76
2025-03-20,7752.96
2025-03-20,7462.56
2025-03-20,7462.56
2025-03-20,8016.96
2025-03-20,7462.56
2025-03-20,7922.96
2025-03-20,8102.96
2025-03-20,7462.56
2025-03-20,7462.56
2025-03-20,1166.93
2025-03-20,1166.93
2025-03-20,1166.93
2025-03-20,1043.73
2025-03-20,1043.73
2025-03-20,920.53
2025-03-20,69350.0
2025-03-20,69350.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,68900.0
2025-03-20,11728.0
2025-03-20,11728.0
2025-03-20,11728.0
2025-03-20,11516.8
2025-03-20,11516.8
2025-03-20,11516.8
2025-03-20,11499.2
2025-03-20,11499.2
2025-03-20,11499.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,11323.2
2025-03-20,2225.6
2025-03-20,2243.2
2025-03-20,2243.2
2025-03-20,2243.2
2025-03-20,2236.8
2025-03-20,2243.2
2025-03-20,2243.2
2025-03-20,10322.8
2025-03-20,10085.2
2025-03-20,10085.2
2025-03-20,10078.4
2025-03-20,9772.4
2025-03-20,9786.0
2025-03-20,9786.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,9610.0
2025-03-20,11232.38
2025-03-20,11062.38
2025-03-20,11232.38
2025-03-20,12677.38
2025-03-20,11232.38
2025-03-20,12869.38
2025-03-20,10977.38
2025-03-20,11232.38
2025-03-20,1741.51
2025-03-20,1741.51
2025-03-20,1609.51
2025-03-20,1609.51
2025-03-20,1345.51
2025-03-20,1345.51
2025-03-20,4033.0
2025-03-20,4033.0
2025-03-20,3971.4
2025-03-20,3971.4
2025-03-20,3901.0
2025-03-20,3901.0
2025-03-20,3901.0
2025-03-20,3813.0
2025-03-20,3813.0
2025-03-20,3813.0
2025-03-20,3813.0
2025-03-20,3813.0
2025-03-20,3813.0
2025-03-20,3813.0
